label,cleaned_tweet
Demografi,yang bubarin fpi kan pemerintah pusat bukan anies gak kebayang kayak apa jakarta dengan anies sebagai gubernur kalau fpi belum dibubarkan dukung sih silakan aja tapi jangan denial kalau anies mendapatkan keuntungan dari ormas diskriminatif anies bukan manusia sempurna 
Geografi,ibaratkan cak imin belimbing matang di pohon anies sindir gibran 
Demografi,prabowo menilai korupsi merusak kehidupan bangsa membahayakan keselamatan negara salah satu yang ia tawarkan adalah menaikkan gaji para pejabat 
Sosial Budaya,pilihlah yang jauh dari radikalisme dan dekat dengan solusi pilih ganjar pranowo jnk ganjarpranowopilihanumat ganjarmahfudrebound
Ideologi,yg sepakat untuk asal bukan prabowo silahkan retweet kita kabar kan seluruh nusantara bahwa indonesia tdk butuh capres penculikaaa pelangar ham berataaa cawapres perusakaaa demokrasi dan konstitusiaaa cukup asalbukanprabowo
Demografi,mantap korupsi akan dibabat sama pak anies
Geografi,etika dan kepemimpinan itu di mulai dari lingkungan keluarga wowo menyindir pak anies dan pak anies tetap senyum dan tidak baper giliran balik di sindir oleh pak anies kata pendukung wowo debat malah nyerang personal memang lucu lihat kelakuan pendukung wowo aayaaaayaa
Sosial Budaya,ini gambaran kalo kita kritik pemerintah nanti kritik pak prabowo sebagai menhan aja disebut kritik personal di replyannya aayaa
Geografi,aaa aa aa goganjargo ganjar optimis capai pertumbuhan ekonomi sahabatganjaraa aa ganjar menangkanganjar generasigotongroyongaa ganjar mahfud hebat perempuan maju
Ideologi,ganjar pranowo yang sebelumnya pernah menjabat sebagai anggota dpr dan diusung oleh pdi perjuangan menunjukkan komitmen dan semangat tinggi dalam melayani masyarakat meskipun telah memiliki pengalaman legislatif ia terus berupaya untuk langsung berinteraksi dengan masyarakat meskipun menghadapi tantangan berat ganjar tetap gigih dan berkomitmen untuk memberikan kontribusi positif pdiperjuangan ganjaruntuksemua ganjarpresiden menangkanganjar ganjarmahfud ganjarsatset mahfudtastes
Pertahanan dan Keamanan,kawasan ekonomi khusus bakal jadi peluang besar buat investasi dukung ganjar mahfud happy new year
Geografi,keterbukaan dalam kebijakan pemerintahan adalah hak warga indonesiasentris anakmudaindonesiaemas prabowo gibran mempromosikan transparansi ini indonesiasentris anakmudaindonesiaemas menangseputaran
Sosial Budaya,program pasangan capres cawapres ganjar pranowo dan mahfud md solusi jitu buat dorong pertumbuhan ekonomi desa jnk ganjarpranowopilihanumat
Sosial Budaya,inisiatif ganjar mahfud memberikan harapan baru untuk pertumbuhan ekonomi yang berkeadilan memberdayakan umkm sebagai tulang punggung ekonomi kerakyatan happy new year
Pertahanan dan Keamanan,ini adalah saat yang tepat untuk berinvestasi dalam masa depan indonesia bersama ganjar mahfud happy new year
Sumber Daya Alam,aayaaa ganjar mahfud hebat betul pak bersihkan indonesia dari korupsi dengan pak ganjar dan mahfud semoga indonesia lebih maju lagi ganjar mahfud hebat
Pertahanan dan Keamanan,aayaa masyarakat jakarta berharap pak ganjar pranowo dan mahfud md terus bersatu untuk membawa kemajuan dan kesejahteraan ganjar mahfud hebat sikat kkn
Geografi,ainunnajib lebih tegang kali lg nembak pemerintah jokowi mulu ganjar malah kg mode cari aman mahfud hebat happy new year
Geografi,partisipasi aktif warga negara adalah tonggak demokrasi yang sehat indonesiasentris anakmudaindonesiaemas prabowo gibran mendorong keterlibatan semua indonesiasentris anakmudaindonesiaemas menangseputaran
Ekonomi,pak setahu saya tidak pernah menyatakan dukungan kpd aniez ataupun ganjar tapi dia pernah mengatakan drpd negeri ini diserahkan kpd mantan penjahat ham demokrasi anies ganjar adalah opsi terbaik yg bisa dipilih rakyat mohon koreksi jika salah aayatma
Ekonomi,algoritma instagram dorong popularitas kampanye anies konten reels tembus jutaan dalam sehari
Pertahanan dan Keamanan,pasangan duet capres cawapres ganjar pranowo dan prof mahfud md lagi fokus bikin regulasi hukum yang gak bikin investor mikir dua kali untuk masuk jnk ganjarmahfudrebound ganjarpranowopilihanumat
Geografi,ganjar yakin bahwa dengan beasiswa kita dapat menciptakan generasi penerus yg unggul debatcapres
Politik,lagi ngomongin jokowi ya di bantu jadi gubernur jkt lewat prabowo ya 
Sosial Budaya,dalam acara konsolidasi hari menuju kemenangan ganjar mahfud selaku cawapres yakni mahfud md berkomitmen akn hadirkn program unggulan demi terwujudnya kesejahteraan rakyat indonesia dan menariknya program yg dibw ganjar mahfud lebih membawa kemaslahatan 
Politik,kalo kata pak prabowo tidak perlu menjatuhkan agar terlihat lebih unggul pemiludamai kitamudaloginpakbowo palingjelas paling pas aa indonesiakuatindonesiamaju diplomasiprogresifprabowo
Ideologi,menjawab bukan tidak terbukti tidak diadili dan tidak diungkap terbukti sudah ada putusan dkp dewan kehormatan perwira berisi pemecatan prabowo subianto dan dinyatakan bersalah atas pelanggaran ham setelah dipecat dan mau diadili beliau kabur ke jordania 
Ideologi,aku nangis bangettt di bagian ini janji yang udah direalisasikan oleh anies malah dihalang halangi oleh pj gubernur enggak tau tujuannya apa tapi yang menderita ya rakyat kecil 
Sosial Budaya,umur alutsista itu nggak sama dengan modernisasi yang bisa dilakukan prabowo miss his shot ada alasan kenapa dan bisa beroperasi tahun hingga masa depan kenapa mereka bisa beroperasi selama itu ya karena emang ada support nya dan ada program overhaul kalau kita namanya mlu mid life upgrade disitu dimana overhaul airframe itu ada entah untuk sekedar nambal atau ganti dengan mesin yang selalu bisa di swap bukan masalah besar terakhir prabowo juga gagal menyebubkan gimana transisi dari alutsista rusia menuju barat bisa memberikan kemudahan dan bahkan kesejahteraan kepada tni 
Politik,pilpres pembuktian prabowo dan jokowi perhelatan pilpres menjadi sebuah pertaruhan dan pembuktian bagi prabowo dan jokowi bagi prabowo pilpres ini adalah kesempatan terbesarnya untuk menjadi presiden ri menggandeng gibran rakabuming prabowo pun mendapat dukungan penuh dari jokowi ya inilah kesempatan terbesar dan mungkin kesempatan terakhir prabowo bisa memenangkan pilpres lawan terbesar prabowo bukanlah anies baswedan maupun ganjar pranowo melainkan garis tangan prabowo berharap dengan menggandeng gibran dan didukung jokowi dia bisa menuliskan garis tangan barunya selain prabowo pilpres ini juga menjadi pembuktian jokowi ada yang sangat begitu meyakini jokowi akan menjadi kekuatan politik baru pasca berakhirnya masa berpolitik sesepuh politisi seperti megawati jusuf kalla surya paloh dan bahkan prabowo tentu kita tidak bisa melihat secara terang terangan jokowi mendukung prabowo namun yang pasti jokowi tidaklah mungkin tidak mendukung anaknya gibran yang adalah cawapres prabowo jokowi yang selama ini dinilai adalah sosok yang lebih besar dari pada pdi perjuangan dan megawati soekarnoputri akan menjadikan pilpres milestone politiknya sebuah titik untuk jokowi benar benar akan menjadi kekuatan baru di kancah perpolitikan atau malah gagal dan menjadi gelandangan politik seperti amien rais usaha besar besaran akan dilakukan untuk mencapai satu satunya kesempatan menang pilpres dengan kemenangan satu putaran karena kalau gagal satu putaran maka kemungkinan menang akan mengecil dan memberikan peluang lebih besar bagi lawan apalagi kalau lawannya adalah ganjar mahfud dalam beberapa waktu ke depan kita akan melihat situasi situasi yang tidak wajar yang tidak kredibel dan profesional dari penyelenggara pemilu dan bahkan ajaibnya bisa saja terjadi hal luar biasa di mahkamah konstitusi tapi sekuat apapun usaha yang dilakukan oleh prabowo dan jokowi saya percaya kalau garis tangan masih belum berpihak kepada prabowo maka kemenangan tidak akan pernah diraih saya cuma berharap nantinya saat keputusan tidak memberikan kemenangan kepada prabowo gibran tidak terjadi kerusuhan semoga kali ini prabowo bisa legowo dan belajar dari pilpres
Sumber Daya Alam,ada hal yang janggal dari post ini post nya berbau counter opini yg skrg lagi rame di papua ini akun pemerintah ya sattt kok bisa bisanya dipake buat nyebokin capres prabowo nya mana anjirrrr
Sosial Budaya,hajatan demokrasi indonesia bulan depan karena demokrasi itu penting bro ayo kita pastikan kepentingan demokrasi dengan memilih ganjar pranowo ganjarmahfudrebound ganjarpranowopilihanumat jnk
Sosial Budaya,insentif pajak dari ganjar mahfud akan memicu lahirnya lebih banyak startup berkualitas happy new year
Sosial Budaya,seseorang yang lupa usia berkata kalo korupsinya gak maka dibiarkanlah pungutan liar di sekolah upeti polisi di jalan pelicin di kantor pemerintah dan segala macam pungutan yang memotong hak kecil yang prabowo tak pernah merasakannya 
Sosial Budaya,perubahan frontal dr segala penjuru nusantara untuk anies amin siap melampiaskan pd sebagian besar petinggi negara dgn pembiarannya pelanggaran pemilu bahkan melawan melengserkan rezim perampas rempang wadas
Pertahanan dan Keamanan,menyoal etika itu bukan serangan personal dalam jabatan publik itu bagian dari integritas ketika situ serang luas tanah yang dikuasai prabowo itu juga bukan personal tapi bagian dari isu konflik kepentingan antara jabatan dan akses bisnis makanya jangan nepotis 
Geografi,rt capres nomor urut ganjar pranowo ingin membentuk lembaga coast guard atau penjaga pantai laut jika kelak memenangi pemilihan presiden pilpres menurut ganjar pembentukan coast guard ini untuk membereskan terjadinya tumpang tindih antar lembaga negara dalam menangani kelautan pdiperjuangan ganjaruntuksemua ganjarpresiden menangkanganjar ganjarsatset mahfudtastes
Geografi,pemberantasan korupsi bukan sekadar tuntutan tetapi komitmen indonesiasentris anakmudaindonesiaemas prabowo gibran bertindak dalam hal ini indonesiasentris anakmudaindonesiaemas menangseputaran
Demografi,lah tapi tetep aja itu koalisinya pdip aayaa faktanya ppp belum pecah koalisi tuh mungkin sengaja bikin statement pindah dukungan supaya bisa bunuh jongos pdip yg disalahin prabowo pantes tolol rupanya kau orang jogja urus dulu tuh klitih aayaa memang tempatnya kampungan 
Pertahanan dan Keamanan,dulu prabowo ke mahasiswa gitu juga gak ya aaakita butuh demokrasiaaa aaasini dek ketemu dulu saya buka datanyaaaa lalu hilang aayaaaayaaaayaa
Ideologi,rt al fatihah buat alm lambang babar purnomo alumnus arkeologi ugm yang diduga dibunuh saat jadi saksi kasus pencurian dan pemalsuan arca museum radya pustaka yang melibatkan hashim djojohadikusumo adik prabowo 
Sosial Budaya,emang keren dalam debat ketika ayahbowo adalahkita serang dia memilih jadi neagarawan dan tak menyerang balik teman diskusinya munculfenomenapakbowo dukungantulus
Ekonomi,inspiratif pasangan capres cawapres ganjar pranowo mahfud md buka peluang bisnis lokal dengan kredit untuk koprasi dan umkm sukses terus pengusaha kecil nct wish jnk ganjarmahfudrebound ganjarpranowopilihanumat
Ekonomi,katanya pak anies dipecat dari posisi mendikbud karena korupsi bener nggak sih aayaa nah daripada bingung dan berasumsi liar mending simak dulu faktanyaaayaaaayaa
Geografi,ganjar mahfud adalah pilihan yang tepat untuk mewujudkan kesejahteraan sektor pertanian dan perikanan happy new year
Ekonomi,ditanya soal etika prabowo bilang anies tak pantas bicara etik karena beri contoh yang tidak baik
Pertahanan dan Keamanan,promosi ganjar terhadap akuntabilitas menciptakan pemerintahan yang transparan dan akurat 
Sumber Daya Alam,kemampuan diplomasi prabowo terlihat saat melakukan kerjasama dengan amerika serikat dalam menyuplai jet tempur dan helikopter tempur sikorsksy black hawk prabowogibranistimewa bersamaindonesiamaju prabowogemoy prabowo subianto
Pertahanan dan Keamanan,garda sebagai garda terdepan mencerminkan kesungguhan ganjar pranowo dalam menjaga keamanan dan stabilitas wilayah maritim dulujokowisekarangganjar
Sumber Daya Alam,kala anies curhat pernah dimarahi pemerintah pusat karena terapkan psbb saat saya dipanggil didatangi
Pertahanan dan Keamanan,kenapa sih mulutmanies enggak mau terima bahwa prabowo jeli belanja alutsista dukungantulus penasaran kebebasan ptn top menhan nyebokin nangisin goblok pt tmi
Demografi,bu sri mulyani jadi sasaran kegagalan prabowo dalam mengelola anggaran pertahanan untung kita punya menteri keuangan sekeren smi dia tahu mana yang harus digunting karena gak beres mana yang harus diteruskan karena penting buat masa depan indonesia 
Pertahanan dan Keamanan,bersama pak ganjar dan pak mahfud insya allah mampu memutuskan rantai kemiskinan di indonesia lewat unggulan merekaaayatmaaayaaaayaayaayaa
Sosial Budaya,keinginan prabowo gibran adalah indonesia harus berdiri di kaki sendiri manfaatkan kekayaan bangsa untuk kesejahteraan rakyat bisa produksi kebutuhan sendiri sudah pada login 
Ideologi,prwakilan tokoh hindu tamil mengajukan pembangunan tmpat ibadah dri era pk jokowi pk ahok dan di era pk anies akhirnya mrek pya tmpat ibadah di mnit an bpk perwakilan hindu tamilbilang akhirnya mreka merasakan pancasila bhineka tunggal ika itu ada
Ekonomi,debat politik itu adu argumen adu data klarifikasi depan publik contoh data seperti ini yang diminta jelaskan prabowo lupa tidak bisa jawab alasannya waktu sempit aayaa mahfud jelaskan anggaran bukan rahasia negara debatcapres
Sosial Budaya,ganjar bagus dukung anggaran pertahanan dari pdb tapi ya eksekusinya dengan senjata hiprrsonik dan senjata quantum terlalu jauh pak wkwkwkw aaya
Sumber Daya Alam,alhamdullilah mari kita dukung pak prabowo biar pejabat sejahtera gaji nya naik gpp rakyat sengsara pajak naik yg penting pejabat sejahtera dan gaji nya naik gaji puluhan juta atau ratusan juta beserta tunjungan itu kurang kalian rakyat biasa sorry yee sorry a
Ekonomi,ganjar mahfud adalah pasangan yang berkomitmen untuk meningkatkan kesejahteraan semua lapisan masyarakat happy new year
Politik,mungkin ini alasan pandji ga setuju pak anies nyapres dia cm pengen pak anies jabat gubernur lagi periode buat beresin kyk gini skrg cm berharap pak anies menang pilpres dan bisa balikin hak warga kp bayam lagi
Sumber Daya Alam,coba sebutkan kepada kami pelanggaran apa yang dilakukan oleh anies konstitusi aturan kpu hukum adat standar etika siapa yg kalian pakai ga bisa tidur nyalahin anies aayaa anda cuma ga bisa menerima kenyataan kalo prabowo bad perform pada debat capres aaya 
Ideologi,rakyat menuntut agar jokowi menegur pemda yang melarang anies kampanye ingat ya pak presiden anies dan cak imin melaksanakan kampanye sesuai konstitusi dan uu yang berlaku kpuberjamaahjegalanies kpuberjamaahjegalanies rakyat muak kpu dan jokowi curang terus 
Pertahanan dan Keamanan,skenario riil yang tak terbayangkan bahkan tiga bulan lalu lima tahun dari sekarang anies bisa menjadi figur karismatik oposisi seperti megawati dulu di zaman orde baru 
Politik,pasangan duet capres cawapres ganjar pranowo mahfud md inspirasi para pelaku umkm kredit jadi langkah cerdas sukses terus teman teman jnk ganjarmahfudrebound ganjarpranowopilihanumat
Sosial Budaya,debat capres pertama ganjar tegaskan jaga demokrasi dan sikat korupsi bengis ganjar mahfud hebat memimpin indonesia
Politik,beda responnya saat bicaranya program selalu diapresiasi saat setelah debat ngomong ke wartawan jelas apa yang ada dihati diutarain ngomongin pertahanan di depan umum bahas anggaran segala yang saat di komisi sangat disampaikan terkait pertahanan negara
Demografi,kemunduran demokrasi asalkan bukan prabowo 
Ideologi,gua jadi inget ketika pm kanada ditegur sama xi jinping karena bocorin dialog xi jinping gasuka kalau terlalu oversharing beberapa hal yg penting memang gaboleh dibocorin andai pak prabowo ngasih tau hal ini mungkin banyak yg makin respect ke beliau 
Demografi,prabowo ingin patahkan klaim ganjar sebagai penerus jokowi
Geografi,rt prabowoaaa taking gaza as an example of aaayang lemah yang ditindasaaaaaaaaaaaa he definitely dgafaaaaaaaaaaaa
Ideologi,anis kesukaan amerika cs dengan alat demokrasi dan keadilan harga diri bangsa menoton ganjar membenahi sistem dan administrasi dan enak didengar untuk dongeng tidur mahfud hebat happy new year
Sosial Budaya,ya anis dijanjiin kursi mentri lah wong dia itu anak prabowo
Demografi,abah anies baswedan menanggapi soal pertemuan beliau dengan warga kampung bayam ikatan kita bukan sekedar ikatan sebagai gubernur tapi sebagai saudara sebangsa yang harus saling mengasihi aayaaaayaao nakesdesakanies
Sosial Budaya,rakyat melihat wajah uzur jendral yang lelah dan tekanan berat krn harus gendong bocil anak haram mk yg setiap debat jadi serangan yg tajam lawanya terutama anies menyoroti sikap etika prabowo terima bocil anak haramnya mk bastardo aniesikongenzmilenial aniesikongenzmilenial
Geografi,salam kopi joni untuk prabowo gibran dong guys prabowo gibran prabowogibran mendingprabowo terusmajubersamaprabowo bersamaindonesiamaju debatcapres pertahananri istorasenayan kpu kpuri debatketiga jokowi
Politik,ganjar pranowo dan mahfud md menghadirkan solusi nyata untuk meningkatkan kesejahteraan petani nelayan dan peternak melalui kebijakan perdagangan yang mendukung produk dalam negeri happy new year
Sosial Budaya,sebaiknya prabowo mundurlah tak ada prestasi sehingga terus prestasi jokowi yang sebrbernya tidak ada prabowo gagal dari jendral pecatan food estate gagal kemenhan yg amburadul bahkan diduga ada korupsi jumbo utk biaya kampanye 
Sosial Budaya,anies presiden untuk tni polri serta asn pertahanan penyediaan rumah dinas kenaikan gaji setiap tahun kesejahteraan lainnya 
Pertahanan dan Keamanan,ini tweet gk nyuruh kalian vote anies cuma demand untuk jangan diskreditkan gagasan dia aja seakan akan heaaatms got nothing to offer jangan biarin kebencian asumtif muncul lagi kalau masih ragu gausah pilih partai islam pas pemilihan legislatif demokrasi masih ada 
Geografi,kan pak anies gencar jgn takut buat mengemukakan pendapat beliau sendiri selalu ngasih contoh sebenernya 
Sumber Daya Alam,aayaa ganjar mahfud hebat dulujokowisekarangganjar akan memberantas kkn dan pungli demi kesejahteraan kaum buruh di indonesia majalengka majalengka bersih kuatkankpk mahfud md 
Sumber Daya Alam,saya sangat bangga bila seorang pemimpin bisa bersatu dengan semua partai koalisinya dan itu dilakukan oleh pak ganjar pranowo benar benar sangat mengagumkan
Ekonomi,masbowogbran pastinya paling ngerti gimana mebangun investasi patriotisme yg jadiin harapan masyarakat untuk memajukan indonesia ini karenahati baikpakbowo
Ideologi,sampai kapan kubu prabowo bodohi rakyat oleh tiand raharjo sangat menggelitik sebenarnya melihat kubu prabowo gibran dengan masif mengampanyekan pilpres satu putaran dengan alasan menghemat uang negara ini tentu pembodohan sekaligus pengkerdilan yang luar biasa terhadap hak hak rakyat kemungkinan prabowo kalah di putaran dua memang sangat besar dan narasi itu mudah kita tebak hanya untuk menutupi kepanikan yang makin mendera kubu mereka bayangkan saja segala infrastruktur negara sudah dipakai dari mulai aparat hingga penjabat kepala daerah juga sudah dilibatkan untuk memenangkan prabowo gibran tapi hasil surveinya masih saja mentok tak kunjung mencapai persen itu adalah fakta yang sulit dibantah kita tahu beberapa hari lalu sempat viral foto pj gubernur jateng nana menjemput prabowo dan tim kampanyenya di bandara ahmadyani saat perayaan hut psi kapasitas prabowo saat itu jelas bukan sebagai menteri melainkan capres apakah anda percaya nana bakal diam saja dan tidak berusaha menambal suara untuk prabowo dengan posisinya saat ini namun ternyata masyarakat tak mudah ditekan dan itulah yang terjadi di lapangan masyarakat tetap berpegang teguh dengan pendirian untuk menentukan siapa sosok yang layak memimpin negeri ini dan prabowo rupanya jauh dari figur yang diharapkan barangkali bukan hanya jejak masa lalunya yang hitam namun juga karena kinerja kinerjanya yang justru kerap menyodorkan kegagalan contoh konkret adalah mangkraknya food estate yang menghabiskan duit negara triliunan rakyat adalah pembaca peristiwa yang baik jika melihat pelanggaran pada pilpres kali ini yang paling banyak memang kubu prabowo bukan hanya pelanggaran sebetulnya namun juga arogansi dan kesewenang wenangan yang mereka perlihatkan dengan beringas dari mulai mempermainkan hukum lewat mahkamah konstitusi perusakan baliho kubu rival hingga tindakan tindakan intimidatif pada putaran kedua sudah pasti seluruh akal sehat dan nalar publik akan bersatu membakar semangat untuk mencegah kesewenang wenangan itu berkuasa inilah yang bikin kubu prabowo ketakutan bukan main dan mulai menyenandungkan hal hal konyol kita percaya daulat akan selamanya berada di tangan rakyat tak ada yang bisa membendung tekad yang sudah membara menyala nyala belum lagi jika kita bicara soal logistik kubu prabowo mungkin saja keteteran di putaran kedua karena kampanye saat ini yang sudah begitu masif baliho bertebaran dimana mana iklan media sosial yang nilai biayanya sangat fantastis belum lagi biaya publik figur yang mereka gunakan sebagai buzzer dan hasilnya justru bikin mereka uring uringan geram bukan kepalang para pelaku survei kredibel beberapa kali bahkan menyebutkan tidak ditemukan adanya data bahwa pilpres akan terjadi satu putaran jika melihat hasil survei saat ini peluang besar putaran kedua prabowo akan berhadap hadapan dengan ganjar pranowo 
Demografi,food estate triliun anggaran belanja menhan triliun beli pesawat mirrage triliun punya tanah hektar berapa duitnya ya gaji recehan utk kaum duafa apa gak mikir ya 
Ideologi,pasangan calon presiden dan wakil presiden nomor urut ganjar pranowo dan mahfud md menaruh perhatian terhadap kesejahteraan prajurit tni dan polri ganjarmahfudrebound ganjarpranowopilihanumat jnk temanalamganjar atikohibunegara
Politik,ganjar pranowo membela para tni yang dijumpainya langsung saat kunjungan di daerah daerah aspirasi merekalah yang akan diwujudkan ganjar ketika menjadi presiden debatcapres
Sosial Budaya,anies baswedan ironis kemenhan pernah dibobol hacker tahun
