text,label,aspek
kembarqq situs ceme online terpercaya memberi bukti bukan janji whatsapp jackpot kembarqq daftarkembarqq joinkembarqq pokervwin bosskembar giselle ruben tapera javjapan dibantai milikkakak mcdonald,neutral,
tapera bacakan korupsi baru kah next asabri jiwasraya soal duit rejim ini gak bisa dipercaya,negative,
ukt tapera putusan ma ruar biasa negeri ini,neutral,
gaji udah pas pas an umr pake dipotong pajak dan tapera tapi biaya hidup muahall lucunya hidup di negara konoha ini,positive,
jangan mau di bodoh bodohi mulai dari pajak isu kenaikan bbm bpr tapera dan masih banyak lagi itu hanya pengalihan isu buat golkan putusan ma soal batas usia kepal daerah,negative,
sbelum ada tapera aja gw mulu tiap liat pajak gaji swami gw gede bgt mendingan duitnya ditabung buat pendidikan anak gw garela sumpah,negative,
pak bas besok kalo sudah ngumpul tapera nya dikorupsi yuuuk kayak itu si taspen kayak itu juga si asabri,negative,
problematik bgt plis negara gua wkwk ma sma tapera jan ampe keskip,negative,
rakyat ku rakyat ku berilah penguasa mu uang beri penguasa uang gitu ya lagunya om iwan pales judul nya tapera eh atau apa ya,negative,
bang udah bang jangan malu maluin banding bandingin king bbca sama tapera udah jelas beda kalau saham valuenyabfkuktuatif bahkan bisa naik terus kalo ini kan cuma ngikutin persentase gaji valuenya dari gaji apa udah mah rumus rumusan yang kurang jelas indeksnya pinter bgt,positive,
memang beda tapi konsepnya sama yaitu memenuhi kebutuhan dasar manusia yaitu sehat dan punya tempat tinggal baik bpjs dan tapera keduanya sudah disetujui dpr dan dijadikan uu maka pemerintah wajib menjalankan uu tsb,positive,
anggota dpr ri dari fraksi partai demokrat herman khaeron memperingatkan agar program tabungan perumahan rakyat tapera yang dikerjakan pemerintah tidak menjadi ladang korupsi jiwasraya tapera asabri,neutral,
klo sdh punya rumah ngapain harus ikut tapera mending buat cicilan yg lain yg lebih penting buat keluarga,neutral,
ane tambahin lagi nih ya jangan liat cuma segelintir orang yg kontra dg program tapera tsb tapi mereka itu yg berani dan representasi jeritan hati suara rakyat boss,negative,
iya juga itu beberapa orang yang julid orang lain mau pindah kewarganegaraan kenapa dah lu repot bet kita ni negaranya udah kaga jelas masih mending presiden lu bukan gibran gaji lu dolar lah kita yang dimari tercekik pajak tapera keberlanjutan kontol,negative,
basuki cs kan semakin kaya dgn tapera krn dpt honor juta per bulan,positive,
solusi naikan ppn pajak tapera apalagi peras terussss,neutral,
udah pada kaya kalau jadi akan digaji juga dari tapera semoga kelak jd bahan bakar api yg menghanguskan mereka di akhirat,positive,
soalnya jikowinya melehoy kok tanya saya awokwowk bikin tapera jikat teruusa,positive,
suasana diruang rapat dpr rakyat sudah menghitung tapera tidak akan bisa mendapat rumah pemerintah oh begitu ya kita naikin jadi dpr setujuu vanke,negative,
selamat pagi untuk people yang iuran tapera tiap bulan dan pajak yang libra gadiajak,neutral,
nih nih buat yang bilang tapera ga semenakutkan itu mending nonton ini biar otak lu pada tercerahkan,negative,
tapera buat nyicil rumah ternyata kau cuma aku sewa,negative,
kpd para pejabat negeri berhentilah membuat gaduh dg kebijakan yg spt tapera yg kini jadi polemik ditengah masyarakat kelas bawah hidup rakyat udah susah bos jgn dibuat susah lg klo bener mikirin rakyat buat dong kebijakan yg pro rakyat jgn tunggu rakyat ngamuk,negative,
sampe searching tentang tapera masih bingung untungnya buat yang iuran itu apa dapet rumah uangnya bisa diambil atau gmana atau aku ya bebal ya ga paham paham,negative,
dari sejarah nya tapera hanya untuk pns sekarang untuk semua penerima upah,neutral,
tapera nya sih utuh pertanyaan sederhananya saldo dari tabungan tersebut riilnya utuh atau wallaahu alam bishshawwab entah kemana bakal menguapnya pak bahkan saat dilakukan penarikan oleh pemilik rekening pun bakalan terlalu banyak proses yang berbelit,negative,
untuk gaji pak basuki bu sri mulyani dan beserta jajaran atasnya dong yg ngerekomendasikan mereka buat naik ngurusin tapera seperti biasa lahhh ditunggu aja nanti berita korupsi nya,negative,
jgn percaya nnti habis utk menggaji pengelola nya direksi tapera dll pasti berbiaya tinggi,negative,
ijtima mui larang umat islam mengucapkan selamat hari raya kepada umat agama lain tapera palestine timnasday,neutral,
mau sih tapera kalo rumahnya dikasih langsung sekarang kita itu butuh rumahnya skrng bukan tahun lagi nunggu pensiun dulu siapa yg jamin umur kita sampai kedepan,positive,
udah sekolah wkwkw buat beli tanah sama sebagian buat modal bangun rumah tu rumahnya udah jadi sekarang daripada nungguin tapera ehh,negative,
boro boro dinaikkin umr nya ini aja mau dipotong buat tapera pera ituuuu,negative,
geger ma bikin kejutan,negative,
ini ide siapa dulu bikin uu tapera kok bisa lolos juga antara pemerintah dan dpr saling menyalahkan lagi bukannya saling menyadari untuk koreksi mengenai perumahan biarlah antara masyarakat dengan pengembang yg difasilitasi perbankan dan pemerintah kasih aturan dan subsidi,negative,
hahaha sok sokan tapera tapi ngga mikirin pendapatan rakyatnya ga semua gaji mereka di atas umr ya pak bu terus korupsi masih merajalela juga terus utang negara mau dibayar pakai tapera makan tuh tapera mukamu kaya tapira,negative,
sepertinya motif tapera bkn agar rakyt mndptkn rumah tp motif lain,neutral,
gaji komite dipotong juga ndak ya buat tapera ni namanya rakyat di paksa utk beliin rumah pejabatnya semprul,negative,
istilahnya tapera tp sebenarnya negara ngutang ke rakyat,negative,
tapera tabungan penderitaan rakyat ini judulnya,neutral,
negara kok kerjaannya meres rakyat trus kalo misal udah punya rumah tetep harus ikut iuran tapera gitu kemarin baca ada wacana sukarela tapi diwajibkan kek mana loh maksudnya,negative,
tapera itu digagas pks dan pdip,neutral,
sejak pemerintah menindas rakyat dg tapera dan semacamnya semakin banyak prostitusi yg berkeliaran di akun,negative,
tapera ruu penyiaran bea cukai kpi mendikbud ma mk emang pemangku jabatannya kek kontol semua,negative,
sobat yang masih jd budak korporat tapi mo beli rumah untuk masa depan mo beli apartemen buat lifestyle mo praktis tinggal di hotel mo beli villa buat pasif income mo investasi di properti senin harga naik mo apa pun semuanya ikutlah tapera program itu serba bisa,positive,
ke barbershop ditanya potong apa tapera mas,neutral,
ga suka sama silahkan tapi jangan goblok goblok banget deh uu tapera itu ada dari dpr dan disetujui dpr dari oleh semua partai,negative,
bisa ga tapera itu pekerja dapat di muka duluan potongannya menyusul,neutral,
potongan tapera mungkin tak sebanyak korupsi timah tapi uang cukup untuk membeli tahu dan tempe untuk mencukupi gizi kami,positive,
mengerikan tapera adalah perampokan dan penjarahan uang rakyat belum bbm naik listrik naik beras naik pajak dan bpjs naik potongan mencapai hampir persen pejabat hidup mewah tiap hari pesta mahasiswa tidak bisa bayar kuliah,negative,
tapera tape ra tape ora tak pek ora sungguh kah aku akan pulang ke rumah dan memilikinya setelahnya atau ini hanya kebodongan lainnya saja pak,negative,
tapera itu katanya nitizen tabungan peras rakyat,neutral,
oke gas makan siang gratis ikn tapera utk jiwasraya,neutral,
sebahagian besar pekerja gajinya pas pasan dan sudah dipotong bpjs tapera dll sisanya berapa kasihan pekerja,negative,
makna indahnya berbagai membagi pekerja gaji umr kpd gaji komite tapera ternyata sri dan basuki anggota komite mau juga merasakan gaji umr pekerja,neutral,
uangnya ditabung buat tapera bayar gasnya pake ktp,neutral,
iuran tapera yang dipotong dari gaji pekerja sebesar dinilai dapat mempengaruhi tren tabungan di indonesia,neutral,
belum dipotong tapera aja udh byk dipotonggila beneran definisi gaji mah lewat doang kaga bisa dirasain ini,negative,
setuju prof sebaiknya pemerintah memfasilitasi kpr dengan bunga rendah kpd rakyat yg blm punya rumah daripada potong gaji truss buat pegawai yg sdh punya rumah apa mau dipotong juga nanti muncul kasus korupsi tapera uang rakyat digondol maling berdasi,negative,
setelah asabri dan jiwasraya tapera bakal jadi modus korupsi berjamaah,neutral,
masih kurang terbit lah tapera bbm naik,negative,
tidak tidak tidak setuju asal tapera tidak wajib dan hanya wajib bagi mereka yg membutuhkan kalau semua dipukul rata berarti pemerintah sama halnya pemerasan tolaktapera,negative,
menurut hemat saya sebagai aparat negara itu gmn caranya mempermudah rakyat dapat kerja shg berpenghasilan yg cukup gmn caranya kita sebagai negara yg beriklim cukup bagus bisa sembada pangan pemerintah bukannya malah membebani rakyat rencana mw ada tapera pajak,negative,
sekarang muncul tapera tabungan penderitaan rakyat buat cicil whoos biar gak ditarik leasing,negative,
isu ma tertutup lagi dengan tapera,neutral,
lagi nilainya rasa tahun ini apa pemerintah dak mikir inflasi apa gak blajar dari tapera pns wakakak,negative,
rumahnya dapet gak dari tapera apa nyicil sendiri,negative,
ikn ga ada yg mau invest jadinya pake duit rakyat berkedok tapera knp ga tunjangan dan biaya hotel pesawat kalian aja yg dikurangin brengsek kelen semua,negative,
tapera goblok,negative,
gpp samakan aja gaji umr nya sama sana trus pajak itu dah cukup bpjs jht tapera setuju,negative,
digiring fokusin vina tapera dan timah,neutral,
rakyat indonesia tolak tapera biangnya korupsi tapera raja koruptor makan uang rakyat indonesia tuna wisma di indonesia,negative,
ini nih ini yang mau diomongin akhirnya terwakilkan juga yang gajinya dua digit mending mingkem aja dah ga usah ngerasa si paling oke sama tapera terus yang gajinya umr lu kira ga bengek nyari duitnya,positive,
yang bikin rame tapera itu bukan potongannya tum jd masyarakat ga dpt pelajaran tp cm ketutup sama si anak abah,negative,
padahal loe udah syiar cari pembenaran ke tentang tapera,negative,
yang wajibin tapera buat semua pekerja siapa sih,neutral,
sy bingung sejak kpn namanya tabungan di hrskan klo namanya tabungan jg ada bunganya klo yg sdh punya rumah dihrskan jg ut ikut tapera digolongkan sbg tabungan ttp tdk mendapatkan bunga aneh aturan dinegeri ini,negative,
yang enak nanti pejaberut yang ngurusin tapera makan hasil potongan gaji rakyat miskin bangke kan,negative,
emang para menteri ikut tapera juga kok dibuatkan rumah di ikn mahal pula,negative,
eh dongok coba lu jd pns di daerah kecil biar ngerasa enak nya jd pns lg an pns sdh dr zaman waw di potong gajinya buat tapera dan tahun kerja jd pns gaji gak nyampe juta,negative,
kenapa gak pemerintah saja yg nalangi dulu biar rakyat nya segera punya rumah lalu rakyat pekerja nyicil lewat tapera gak ribet kan qiqi,negative,
pernah baca tabungan tapera bukan cuma buat beli rumah tapi juga bisa dipake untuk pemeliharaan rumah tapi kurang paham rincian claimnya gimana,neutral,
sumpah aku ga ngerti tapera ni pro ke rakyat indonesia bagian mana,negative,
tapera ni gaya ngemis baru kah,negative,
habis antam terbitlah tapera,neutral,
emang ga guna kok tapera tapera ini,negative,
upeti kolonial penjajah berbentuk tapera demi lahan korupsi jokowi,negative,
harusnya pemerintah jujur aja sih bilang duit tapera buat bayar ikn dan hutang negara yg jth tempo kan rakyat bisa sekalian dudukin dpr,negative,
tabungan itu sukarela klo tapera itu suka ga suka harus rela,neutral,
habis antam terbitlah tapera,neutral,
gambaran kemana nanti tapera kita menuju,neutral,
sudah bayar tapera belum kak oh udah dibebasin ya,neutral,
after emas palsu antam terbitlah tapera,neutral,
tapera diinisiasi pks dan pdip,neutral,
dasar goblok loe mau bela mukidi tapera itu emang bagus tapi prinsip nya cuma sukarela bagi yang mau punya rumah bukan seperti sekarang dipaksa kalp nggak mau di denda ini kerjaan jokowi dan kroninya,negative,
siapa butuh tapera udh org gw udh punya rumah,neutral,
dalihnya aja itu tapera ntar uangnya buat nyicil hutang,negative,
pekerja yang sudah punya rumah tetap wajib bayar iuran tapera,neutral,
gak usah khawatir tentang tapera kalian semuanya adalah orang bisu dan tuli yg berkumpul dalam gedung kalian dracula penghisap darah rakyat kumpulan manusia sampah yg mengaku berilmu,negative,
ada sri mulyani di deretan komite bp tapera gajinya rp juta per bulan di sana tempobisnis,neutral,
tapera harus lanjut karena selama ini pemerintah hanya memikirkan gaji pegawai negri saja,negative,
inilah kenapa gue yakin tapera ini cuma akan jadi bancakan doang asumsi middle class di sini ada jt org ambil gaji yg jt berarti per bulan rb sebulan bisa dapat triliun,negative,
mungkin ntar tapera jg buat nyenengin mereka,neutral,
angka main hongkongpools mei angka main shio babi ayam cb tutup wib result wib syairshk syairshongkong angkamainhk palestine tapera kaesang,neutral,
potong gaji untuk tapera baru dapat rumah tahun lagi netanyahu bicara kesalahan teknis,negative,
tapera tapera tai anjing,negative,
pertanyaan gua emg tuh tapera masih ada tahun lg,neutral,
pasalya tapera dan bpjs ketenagakerjaan sama sama potong gaji pekerja dan manfaatnya bisa untuk pembiayaan perumahan,neutral,
nabung khan harusnya di bank kenapa pakai tapera,neutral,
silahkan jk mestinya yang tidak punya rumah saja yang dipotong gajinya untuk tapera kalo yang sudah punya rumah juga dipotong gajinya itu namanya negara merampok rakyatnya,negative,
ini yah tapera tahun buat beli rumah mungyl di maja aja gak cukup,negative,
semoga yang makan duit tapera itu nga kan punya penyakit kronis,negative,
nasi udah jadi bubur ngapain dikritisi lagi tooh lu kritis juga gak ngubah uu tapera juga gak ubah ruu penyiaran yang satu udah resmi yang satu ditunda intinya suara lu gak bakal didengar percuma,negative,
mending mah gw bilang tapera motong gaji dr pembela tapera noh buat liat berhasil ga ni program harusnya kan mereka rela gajinya dipotong lagi,negative,
tapera udah ukt naik cuma ditunda putusan ma gpp pertalite hapus aja biar ga da beban lagi sebelum oktober,negative,
tapera jembot,negative,
penindasan ala tapera,negative,
mensesneg pratikno mengungkap sudah ada rapat koordinasi di kantor staf presiden ksp terkait program tabungan perumahan rakyat tapera pratikno menyerahkan kepada kementerian terkait untuk menjelaskan ke publik,neutral,
klo tujuanx buat pnggalangan dana negara jgn pake tapera lbh baik dlm bntuk tbungn investasi kyk surat utang negara obligasi atau bntuk saham sekalian lbh smart,neutral,
baru tapera belom potongan yg lainnya,neutral,
potong leher yg ajuin program tapera itu,neutral,
artinya kita tidak boleh punya gaji tetap tetap miskin karena tidak mampu bayar tapera tetap jongos di negeri sendiri,negative,
asosiasi pengusaha indonesia tegas menolak potongan tapera sebesar,neutral,
maap banget yang gaji nya duajuta brpa tapera nya,negative,
klo gitu dibuatkan pilihan semacam edaran pernyataan setuju atau tidak setuju rakyat dipotong tapera,negative,
tapera ini harusnya untuk pns aja klo swasta mah gausah begini begini deh,negative,
ada yang iseng hitung rakyat bener bisa dapat rumah dengan tapera,neutral,
lagi viral tapera eh muncul lagi soal umur,negative,
lah mau prabowo udah dilantik atau belum ya sama aja orang jokowi sama prabowo sama kok prabowo aja pernah bilang apa yang dilakukan jokowi maka kita akan lanjutkan pas pilpres bawa bawa jokowi gapapa giliran pas ada tapera prabowo gamau standar ganda dasar,negative,
dah yg pasti tapera ga logis dah bilang aja pemerintah butuh duit ayo pendukung ikut tapera,negative,
tapera itu cara sopan pemerintah meminta dana ke rakyat yang nusuk elu yang buntung kite kite,negative,
tapera itu seperti mau pinjam uang rakyat dalam bentuk tabungan seperti dana haji mau dimanfaatin dulu gituh ya mending nabung emas peka inflasi hasil alam kaya tapi korupnya luar binasa ya tetap saja ga bakal sejahtera yang merata bangsa ini kan,negative,
selesai ukt dibatalkan muncul tapera selesai tapera apa lagi mumpung masih bulan,neutral,
tapera blm selesai malah nambah,negative,
gan yang dicicil itu wujudnya sdh ada analogi sederhana nya gini kalo belom ada rumah nya tapi dikondisikan untuk menabung itu adalah aneh dan itu bukan nabung namanya tapi investasi non rumah ini terlepas soal uu tapera eaa,negative,
satu kata buat tapera dan jkw rezim kontol,neutral,
dan loe udah bacot sana sini nyalahin dpr lah pdip lah sampe pegel tuh tangan belain program tapera,negative,
tapera ckp bagus,positive,
gan yang dicicil itu wujudnya sdh ada analogi sederhana nya gini kalo belom ada rumah nya tapi dikondisikan untuk menabung itu aneh bukan nabung namanya tapi investasi non rumah ini terlepas soal uu tapera eaa,negative,
gan yang dicicil itu wujudnya sdh ada analogi sederhana nya gini kalo belom ada rumah nya tapi dikondisikan untuk menabung itu aneh bukan nabung namanya tapi investasi non rumah ini terlepas soal uu tapera eaa,negative,
anjing ini kalo tapera jadi gaji bapak gue kepotong dong njirlah,negative,
tgl masih lama ya pen iuran tapera,neutral,
begundhal khilafuck gk mungkin bisa nglengserin presiden jokowi tapera itu godokan anggota dewan,negative,
soal tapera kadin udah bilang bagus cuma gak bisa disama ratakan aja,negative,
tuh ketua mpr minta dikaji yg dipake pp bukan uu tapera,neutral,
apa sih pada ribut ribut tapera terus kayak akyu dong orang rumahnya akyu itu kamyu kok hahayy hahahahaha edan maaf obat habis,negative,
ini orang yg sok tahu tapi sombong pak jelas mengemukakan sebuah fakta tentang usulan tapera yg digaungkan oleh pks saat itu ketika fakta itu disungguhkan tapi dianggap menyerang pks logika fanatik seperti ini suka kehilangan nalar sehatnya,negative,
ini aneh tapera dibebankan juga pada mereka kok malah mendukung kebijakan prabowo gibran yang mengusung keberlanjutan,negative,
sulit perekonomian stabil sekarang aja rakyat mau diperas dengan adanya tapera,negative,
tapera ladang maling selanjutnya,negative,
aturan di buat hanya untuk memberikan sanksi padahal sanksi dalam aturan tidak mengatur moral dan etik llu untuk apa sanksi tapera,negative,
iyuran tapera buat cicilan utang nkri,neutral,
andaikan tidak dikorupsi berapa makmur rakyat indonesia tidak usah bpjs tapera dll,negative,
bagus tapera udah lama kok kayanya berjalan cuma di rubah lagi uu nya tapi belum maximal tolong di maximalkqn ini hanya untuk yg ngerti masa depan keluarga ya kalau yg ga ngerti ya pulang kampung tani,negative,
dlm janji kampanye jokowi mahrruf amin tak ada tuh program tapera begitu juga sama dg prabowo gibran lebih baik program tapera laksanakan saat kampanye pilpres utk bagi karyawan asn yg setuju tapera silahkan pilih capres tsb,neutral,
tapera sbg ladang berikutnya,neutral,
semua sibuk dg tapera sampe lupa dg ma,negative,
manfaat tapera buat apa yaa banyak yg belum paham,neutral,
kalo lu mau tau nih di luar malah lebih parah dan lebih banyak apalagi buruh buruh pabrik noh pada ngeluh sampe tetangga di perumahan aja pada ngeluhin tapera tapera itu itu cuma sebagian aja dari banyaknya orang yg menganggap negara ga karuan di luar lebih banyak,negative,
beneran nanya tapera maksudnya tabungan pemakan rakyat toh pak jangan jawab yo nda tau kok tanya saya ya pak,negative,
ini jumlah tabungan tapera utk hidup sebulan aja nggak cukup,negative,
nah emg begitu tau maksud pemerintah tuh biar mereka dapet dana yg bisa di korup lagi jadi makin kaya trs mah mereka bilangnya tapera itu opsional jadi ga harus yang pengem punya rumah aja yg bayar katanya sih gt akal akalan pemerintah doang,negative,
segala macem alesan tapera rumah rumah rumah bilang aja buat bayar utang yg hampir jatuh tempo,neutral,
gagal korupsi di jalur peningkatan biaya ukt plan di pindahin ke program tapera plan,negative,
gak usah di paksa jaman sekarang rakyat pasti sudah menabung kalau di hitung hitung dalam satu bulan buruh di potong sekitar sekian lah dari mulai bpjsktnaga kerjaan sampai tapera ini juta lebih,negative,
semua bergerak ke tapera apakah negeri ini akan segera bangkrut,negative,
ono potongan tapera ora kang,negative,
kasus tapera kapan nyusul,neutral,
duit potongan tapera harusnya bisa buat beli merch minimal,neutral,
kasus vina hanya pengalihan muncul tapera keputusan ma dll tunggu aja dari rezim ini buat rakyatnya yang tercinta dan terbodoh,negative,
gaes jgn terditraksi daripada darurat tapera ukt ni negara darurat penegakan hukum anti korupsi dafuq semua koruptor,negative,
though org slh tebak lagi kirain bikin kisruh tapera buat mbayari utang proyek ternyata buat nutupin berita ttg putusan ma batas umur lolos dah anak bungsu,negative,
komite tapera gajinya juta bulan sedangkan yang dipotong buat tapera gajinya umr ini sih program nabung buat bangun rumah komite tapera beserta keluarganya,neutral,
dp ga potong gaji blok mau ngambil silakan ga ngambil silahkan tapera paksaan,negative,
wow kiky saputri diduga sindir soal kebijakan tapera,neutral,
minimal jokowi tau lah kek gini jangan cuman urusan tapera,negative,
saya tetap tidak setuju tentang tapera menurut saya lebih baik diberi opsi untuk memilih mau diambil atau tidak mari kita lihat bagaimana kelanjutan soal tapera ini,negative,
tebak saldo tapera,neutral,
hasil gabungan tapera pasutri selama tahun,neutral,
pada ribut tapera ma lolos merubah aturan batas umur pencalonan kepala daerah yg membolehkan karang maju mendaftar sebagai kepala daerah,neutral,
gw ga pake tapera bisa muter uang sendiri bangun rumah sendiri mi aja gw kagak percaya pak dulu bidikmisi gw aja sering pak duitnya di deposito dulu bulan sampe sana sini bikin aturan kok ngasal sih,negative,
tapera trama butuh,neutral,
tapera ruu penyiaran ukt naik mahkamah agung yg bentar lg jadi mahkamah adik kaya ini jd rakyat cape banget ada aja yang dikeluhin tial hari,negative,
naluri pebisnis melihat peluang proyek pengumpulan uang masyarakat sah sah saja namun dengarkanlah rakyat bicara keluhannya jika tapera bersumber potongan wajib upah masyarakat pekerja dibawah garis tekanan harga harga naik,negative,
bujerp kurap di bayar masih aja bodoh apa bayaranya di potong tapera,negative,
bahkan rumah tapera pun bukan jaminan tempat untuk kembali,negative,
tapera tahu tempe rasa beraaaaaaaa,positive,
tentang tapera mengutip dari gen disekitar semisal di akhir nerima uang juta nilai juta sekarang gak sama dg juta suatu saat nnti ingat ada inflasi,negative,
dg tapera maka selama kerja kita nge kos trs pensiun tapera nya tdk cukup beli rumah smp mati nge kos deh indeks kebahagiaan masyarakat makin rendah usia hidup makin pendek penyandang stroke dan odg makin bnyk,negative,
tapera is just us splitting bills with anak menteri bajingan,negative,
haaa parah emg pejabat tapera,negative,
satu pertanyaan saya pak dlm simulasi dgn gaji jika menurut simulasi tapera yg beredar terkumpul apakah pemerintah bisa menjamin nilai tsb tdk terkena dampak inflasi mengingat mata rupiah terhadap dollar sudah hampir loh skrg tertanda di tgl mei,neutral,
kadang manusia ini dianggap seperti hamba nurut takluk kepada siapa yg didukung begitulah bermental budak hidup itu cuman menurut apa kehendak tuannya apa hubungannya tapera dengan memilih anies prabowo atau ganjar dasar manusia bermental budak,negative,
dari pada tapera masih untung kalo duitnya ntar emang balik gimana kalo gaji dipotong selama puluhan tahun ternyata malah lenyap dimakan pejabat,negative,
gimana dengan orang di luar mbr itu mereka wajib ikut tapera tapi duitnya cuma sekedar ditabung pemerintah dan abis tu baru dicairin pas pensiun atau meninggal,negative,
terus gimana dengan orang yang penghasilan rendah tapi emang gak akan pake manfaat tapera itu misal dia tinggalnya di rumah ortu atau emang udah punya rumah sendiri masa penghasilan udah rendah tapi dipotong juga,negative,
belum kerja tapi ikut pusing mikirin tapera,negative,
munculnya tapera koq bisa bersamaan keputusan ma biar tdk tercium ma jadi milik anak stlh milik kakak,neutral,
acc tapi yang korup uang tapera digebukin indo gmn,negative,
hmm kalau diliat dari perhitungan tapera di bawah untuk gaji juta bakal dpt rumah sehatga tapi emang masih ada ya rumah seharga juta,neutral,
habis vina terbitlah tapera,neutral,
betul jokowi sbagai kepala negara menjalankan uu anda tau itu uu yg berkaitan dgn tapera th brp sdgkn jokowi menjabat hmpir th knp br skrg menjelang ms jbtn presiden hbis br dilaksanakan bkn cm anda yg melek hukum dan tau uu rakyat jg paham bos,positive,
kasian banget mentri jadi tumbal jokowi bikin pernyataan pernyataan bodoh tentang kebijakan yg sesat dari tapera hingga kenaikan pajak terutama mentri profesional bukan mentri dari partai yg juga sama tolol nya dgn kebijakan pemerintah,negative,
tapera mah ujungnya paling tabungan buat dp rumah doang atau rumah yang disediakan bentuknya rumah susun atau apartemen size studio,negative,
tolak tapera rakyat jangan mau terus dibodohi rezim,negative,
umpanya tapera goalnya di ma tahun,neutral,
daripada tapera mending berenang di op gak sieee,neutral,
ya harusnya pendukung gibran lebih semangat dong dukung tapera nya oke gasss oke gasss,positive,
sebagai buruh pabrik tapera jadi isu utama ga semua yg didepan matamu harus sama dengan yg didepan mata orang lain,negative,
selain wasit pinggir gawang kini ada yg lebih gak guna lagi ya betul tapera,neutral,
meramu merakit problem tapera jangan bawa bawa pdip dan pks yang bicara ke publik kan ri koalisi nya gemuk masa hanya partai sih yang di jelekan hadeh aya aya wae,negative,
idealnya sih gitu min kyk bpjs lah masih jalan dan kepake tp asli makin ke sini makin takut sm kebijakan pajak uda kmrn ada pajak ter trus baru lagi pajak tapera plg kasian middle class sih diporotin mulu,negative,
susah bang klo ukt sama tapera pada kenceng bgt protesnya klo beginian mah cuma ngelus dada dah ah,negative,
